Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",133.500000,-86.020000,0.000000,top
"C2","100n","C_0402_1005Metric",129.500000,-91.020000,90.000000,top
"C3","100n","C_0402_1005Metric",138.500000,-101.000000,180.000000,top
"C4","100n","C_0402_1005Metric",142.000000,-91.520000,-90.000000,top
"C5","100n","C_0402_1005Metric",133.500000,-88.020000,0.000000,top
"C6","10n","C_0402_1005Metric",129.500000,-95.500000,90.000000,top
"C7","1u","C_0402_1005Metric",128.980000,-98.520000,180.000000,top
"C8","1u","C_0402_1005Metric",129.000000,-100.020000,180.000000,top
"C9","22u","C_0805_2012Metric",145.950000,-97.520000,0.000000,top
"C10","22u","C_0805_2012Metric",151.000000,-103.470000,90.000000,top
"C11","100n","C_0402_1005Metric",133.500000,-100.020000,0.000000,top
"C12","10p","C_0402_1005Metric",127.520000,-93.500000,90.000000,top
"C13","10p","C_0402_1005Metric",127.500000,-95.500000,90.000000,top
"D1","red","LED_0603_1608Metric",154.500000,-103.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",131.000000,-99.520000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",153.000000,-94.025000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",146.000000,-81.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",133.000000,-81.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",127.880000,-109.000000,90.000000,top
"R1","1k5","R_0402_1005Metric",153.510000,-100.500000,180.000000,top
"R2","10k","R_0402_1005Metric",127.000000,-86.020000,0.000000,top
"R3","1k5","R_0402_1005Metric",146.500000,-93.000000,90.000000,top
"R4","1K5","R_0402_1005Metric",131.500000,-105.520000,180.000000,top
"R5","1K5","R_0402_1005Metric",134.500000,-105.520000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",117.500000,-95.000000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",145.000000,-105.000000,-90.000000,top
"U2","STM32F103C_8-B_Tx","LQFP-48_7x7mm_P0.5mm",135.750000,-94.182500,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",124.500000,-94.520000,-90.000000,top
